#1053 - Hinggan

#owner = MYR
#controller = MYR
#add_core= MYR
culture = manchu
religion = tengri_pagan_reformed
capital = "Hinggan"
trade_goods = fur
hre = no
base_tax = 2 
base_production = 2
base_manpower = 3
is_city = no



discovered_by = chinese
#discovered_by = nomad_group


# = {
	#owner = MCH
	#controller = MCH
	#add_core= MCH
#} # The Later Jin Khanate
# = {
	#owner = QNG
	#controller = QNG
	#add_core= QNG
	remove_core = MCH
#} # The Qing Dynasty
# = { discovered_by = RUS } # Vasily Poyarkov
# = { discovered_by = SPA }


native_size = 5
native_ferocity = 1
native_hostileness = 3
