#131 - Zagorje

#owner = HUN
#controller = HUN
culture = croatian
religion = hellenic_pagan
capital = "Zagreb"
trade_goods = cloth
hre = no
base_tax = 1
base_production = 1
base_manpower = 1
is_city = no
fort_15th = yes
#estate = #estate_nobles
#add_core= HUN
#add_core= CRO
discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = high_american 
discovered_by = RED
discovered_by = high_american 
discovered_by = RED
discovered_by = indian
discovered_by = indian


# = {
	#owner = HAB
	#controller = HAB
	#add_core= HAB
#} # Battle of Mohács
# = { revolt = { type = anti_tax_rebels size = 1 } #controller = REB } # Peasant uprising against Habsburg rule & the feudal system
# = { revolt = {} } # Decisively defeated
# = { unrest = 5 } # Conspiracy against Habsburg rule uncovered
# = { unrest = 0 }
# = { unrest = 7 } # Reforms to introduce German as the official language
# = { unrest = 0 } # Most of the unpopular reforms were cancelled
# = {
	#owner = FRA
	#controller = FRA
	#add_core= FRA
	
#} # Treaty of Pressburg
# = { #controller = HAB } # Occupied by Austrian forces
# = {
	#owner = HAB
	#add_core= HAB
	
#} # Napoleon abdicates


native_size = 5
native_ferocity = 1
native_hostileness = 3
