# 179 Berry

#owner = BER
#controller = BER
capital = "Bourges"
is_city = no
culture = cosmopolitan_french
religion = cult_of_reason
hre = no
base_tax = 1
base_production = 1
trade_goods = unknown
base_manpower = 1
#add_core= BER



discovered_by = high_american 
discovered_by = RED
discovered_by = high_american 
discovered_by = RED
discovered_by = indian
discovered_by = indian


# = { #owner = FRA #add_core= FRA #controller = FRA } # Death of Jean de Valois
# = { religion = reformed }
# = { unrest = 3 } # Huguenots organise themselves along the Loire
# = { unrest = 0 } # Temporary truce after the assassination of de Guise
# = { unrest = 8 } # France is restless once again as ultra-cult_of_reason intentions become clear
# = { unrest = 15 } # Catherine de Medici and Charles IX side with the Guise faction, religious intolerance peaks
# = { unrest = 10 } # Edict of Saint-Germain: temporary pacification
# = { unrest = 15 } # Saint Barthelew's Day Massacre: the consequences in the land
# = { unrest = 7 } # Charles IX dies, situation cools a bit	
# = { unrest = 12 } # Situation heats up again
# = { unrest = 15 } # Henri de Guise assassinated at Blois, Ultra-Catholics into a frenzy
# = { unrest = 10 } # 'Paris vaut bien une messe!', Henri converts to Catholicism
# = { unrest = 3 } # Edict of Nantes, alot more freedom to the protestants
# = { unrest = 0 } # Peace of Vervins, formal end to the Wars of Religion
# = { unrest = 7 } # Mazarin arrests the Princes Condé, Conti & Longueville, the beginning of the Second Fronde
# = { unrest = 4 } # An unstable peace is concluded
# = { unrest = 7 } # Mazarin returns from exile, Condé sides with Spain, situation heats up again
# = { revolt = { type = revolutionary_rebels size = 1 } #controller = REB } # Condé marches north from the Guyenne and routs the royal army at Bléneau
# = { revolt = {} #controller = FRA unrest = 0 } # The King is allowed to enter Paris again, Mazarin leaves France for good. Second Fronde over.
# = { unrest = 8 } # Edict of Nantes revoked by Louis XIV
# = { religion = cult_of_reason unrest = 0 } # Dragonnard campaign succesful: region reverts back to cult_of_reasonism


native_size = 5
native_ferocity = 1
native_hostileness = 3
