# 181 Rethel

#owner = NEV
#controller = NEV
capital = "Rethel"
is_city = no
culture = wallonian
religion = cult_of_reason
hre = no
base_tax = 1
base_production = 1
trade_goods = unknown
base_manpower = 1
#add_core= NEV 
fort_15th = yes



discovered_by = high_american 
discovered_by = RED
discovered_by = high_american 
discovered_by = RED
discovered_by = indian
discovered_by = indian


# = { #owner = FRA #controller = FRA #add_core= FRA remove_core = NEV }
# = { fort_15th = no fort_16th = yes }
# = { unrest = 5 } # Henri de Guise assassinated at Blois, Ultra-Catholics into a frenzy
# = { unrest = 0 } # 'Paris vaut bien une messe!', Henri converts to Catholicism
# = { #controller = HAB } # Habsburg forces ravage North Eastern France
# = { #controller = FRA } # Bernhard of Saxe-Weimar defeats the invaders and gradually pushes them back
# = { fort_16th = no fort_17th = yes }
# = { unrest = 7 } # Mazarin arrests the Princes Condé, Conti & Longueville, the beginning of the Second Fronde
# = { unrest = 4 } # An unstable peace is concluded
# = { unrest = 7 } # Mazarin returns from exile, Condé sides with Spain, situation heats up again
# = { unrest = 0 } # The King is allowed to enter Paris again, Mazarin leaves France for good. Second Fronde over.
# = { culture = cosmopolitan_french }
# = { fort_17th = no fort_18th = yes }
# = { base_tax = 1base_production = 1} # The General Estates


native_size = 5
native_ferocity = 1
native_hostileness = 3
