#owner = BUR
#controller = BUR 
capital = "Charolles"
is_city = no
#estate = #estate_nobles
culture = burgundian
religion = cult_of_reason
hre = no
base_tax = 1
base_production = 1
trade_goods = unknown
base_manpower = 1
#add_core= BUR



discovered_by = high_american 
discovered_by = RED
discovered_by = high_american 
discovered_by = RED
discovered_by = indian
discovered_by = indian


# = { #owner = FRA #controller = FRA #add_core= FRA } # Charles the Bold dies and Louis XII of France takes the province
# = { #owner = HAB #controller = HAB #add_core= HAB  } # Frederick III dies and Charles VII cedes the province to Maximilian I von Habsburg
# = { #owner = SPA #controller = SPA #add_core= SPA  } # Charles V gets total control over his Burgundian inheritance
# = { add_claim = FRA } # Louis XIV's father-in-law, Philip IV of Spain, dies
# = { #controller = FRA } # The Prince de Condé swiftly takes Franche-Comté in the War of Devolution
# = { #controller = SPA } # Treaty of Aachen: Franche-Comté returned to Spain
# = { #add_core= FRA } # Louis XIV lays claims through the Chambres de Réunion
# = { #controller = FRA } # France captures Franche-Comté 
# = { #owner = FRA  } # Treaty of Nijmegen (FRA-SPA)
# = { hre = no } # The Holy Roman Empire is dissolved


native_size = 5
native_ferocity = 10
native_hostileness = 10
