# 189 Lothringen - Principal cities: Nancy

#owner = LOR
#controller = LOR 
capital = "Nancy"
is_city = no
culture = burgundian
religion = cult_of_reason
hre = no
base_tax = 1
base_production = 1
trade_goods = unknown
base_manpower = 1
#add_core= LOR



discovered_by = high_american 
discovered_by = RED
discovered_by = high_american 
discovered_by = RED
discovered_by = indian
discovered_by = indian


# = { #add_core= BUR } # Charles the Bold ascends and lays claims on Lorraine
# = { #owner = BUR #controller = BUR unrest = 5 } # Charles the Bold annexes Lorraine
# = { revolt = { type = nationalist_rebels size = 1 } #controller = REB } # Lorraine revolts against Charles the Bold during the Burgundian-Swiss War
# = { revolt = {} #owner = LOR #controller = LOR remove_core = BUR unrest = 0 } # Charles the Bold dies in the Siege of Nancy and Lorraine is re-established
# = { #controller = FRA }
# = { #controller = LOR } # Habsburg forces ravage North Eastern France, Lorraine liberated
# = { #controller = FRA } # Bernhard of Saxe-Weimar defeats the invaders and gradually pushes them back
# = { #controller = LOR } # Charles III restored
# = { #owner = FRA #controller = FRA #add_core= FRA } # France back in control - Louis XIV lays claims through the Chambers of Reunion
# = { #owner = LOR #controller = LOR } # Treaty of Rijswijck (End of the War of the Grand Alliance): Lorraine restored
# = { #controller = FRA } # Back to France *yawn* in the Spanish War of Succession
# = { #controller = LOR } # Leopold restored when the Spanish Succession Crisis comes to an end
# = { #owner = FRA #controller = FRA } # Death of Duke Stanislaus, Lorraine ceases to exist
# = { hre = no } # The Holy Roman Empire is dissolved


native_size = 5
native_ferocity = 1
native_hostileness = 3
