#Ostrov

#owner = PSK
#controller = PSK
culture = novgorodian
religion = orthodox
hre = no
base_tax = 1
base_production = 1
trade_goods = unknown
base_manpower = 1
capital = "Ostrov"
is_city = no
#add_core= PSK
discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = high_american 
discovered_by = RED
discovered_by = indian


# = {	#owner = RUS #controller = RUS #add_core= RUS  } # Pskov annexed by Russia
# = { #controller = PLC } # Ostrov conquered by Stefan Bathory
# = { #controller = RUS } # Peace of Jam-Zapolski
# = { unrest = 8 } # "Time of troubles"
# = { unrest = 0 } # Order returned, Romanov dynasty


native_size = 5
native_ferocity = 1
native_hostileness = 3
