#1967 - Khujand

#owner = TIM
#controller = TIM
culture = uzbehk
religion = sunni
capital = "Khujand"
trade_goods = silk
hre = no
base_tax = 2 
base_production = 2
base_manpower = 3
is_city = no
#add_core= TIM
#add_core= KOK



discovered_by = KAS
discovered_by = indian
discovered_by = indian
#discovered_by = nomad_group
discovered_by = indian


# = {
	#owner = SHY
	#controller = SHY
	#add_core= SHY
#} # Muhammad Shaybani
# = { 
	#owner = BUK 
	#add_core= BUK
	#controller = BUK
	
	 
#} # The Uzbek Shaybanids brings an end to the Timurid dynasty
# = { discovered_by = RUS }
# = { #owner = KOK #controller = KOK  }


native_size = 5
native_ferocity = 1
native_hostileness = 3
discovered_by = NRU 
discovered_by = NRA
