# 2125 - Kochkor

#owner = CHG
#controller = CHG
#add_core= CHG
culture = kirgiz
religion = sunni
capital = "Kochkor"
trade_goods = wool
hre = no
base_tax = 2 
base_production = 2
base_manpower = 3
#estate = #estate_nobles
is_city = no
discovered_by = chinese
discovered_by = indian
#discovered_by = nomad_group
discovered_by = indian

# = {
	#owner = KAS
	#controller = KAS
	#add_core= KAS
#}
# = { discovered_by = RUS }

# = {
	#owner = ZUN
	#controller = ZUN
	#add_core= ZUN
#}
# = {
	#owner = QNG
	#controller = QNG
	#add_core= QNG
#}


native_size = 5
native_ferocity = 1
native_hostileness = 3
discovered_by = NRU 
discovered_by = NRA
