# 2170 - Songqu

#owner = MNG
#controller = MNG
#add_core= MNG
culture = tibetan
religion = vajrayana
capital = "Songqu"
trade_goods = unknown
hre = no
base_tax = 1
base_production = 1
base_manpower = 1
is_city = no
#add_core= CXI



discovered_by = chinese
#discovered_by = nomad_group


# = {
	#owner = CXI
	#controller = CXI
#} # Zhang Xianzhong's Xi empire
# = {
	#owner = QNG
	#controller = QNG
	#add_core= QNG
#} # The Qing Conquest Continues 
# = { #controller = CZH } # Three Feudatories revolt
# = { #controller = QNG }
# = { discovered_by = SPA } #Ferdinand Verbiest

native_size = 5
native_ferocity = 1
native_hostileness = 3
discovered_by = NRU 
discovered_by = NRA
