# 2184 - Xining

#owner = MNG
#controller = MNG
#add_core= MNG
culture = xibei
religion = vajrayana
capital = "Xining"
trade_goods = unknown
hre = no
base_tax = 1
base_production = 1
base_manpower = 1
is_city = no
#add_core= CSH



discovered_by = chinese
#discovered_by = nomad_group


# = {
	#owner = CSH
	#controller = CSH
#} # Li Zicheng's Shun empire
# = {
	#owner = QNG
	#controller = QNG
	#add_core= QNG
#}
# = { discovered_by = SPA } #Ferdinand Verbiest

native_size = 5
native_ferocity = 1
native_hostileness = 3
discovered_by = NRU 
discovered_by = NRA
