# 2193 - Govi

#owner = OIR
#controller = OIR
#add_core= OIR
culture = khalkha
religion = tengri_pagan_reformed
capital = "Govi"
trade_goods = wool
hre = no
base_tax = 1 
base_production = 1
base_manpower = 1
is_city = no



discovered_by = chinese
#discovered_by = nomad_group


# = {
	#owner = KHA
	#controller = KHA
	#add_core= KHA
#} # The Oirads are defeated & Altan Khan reunites the the area.
# = {
	#owner = KLK
	#controller = KLK
	#add_core= KLK
#}
# = { discovered_by = SPA } #Ferdinand Verbiest
# = {
	#owner = ZUN
	#controller = ZUN
#}
# = {
	#owner = QNG
	#controller = QNG
	#add_core= QNG
#} # Kangxi leads Qing army pushing Zunghars back

native_size = 5
native_ferocity = 1
native_hostileness = 3
discovered_by = indian
