#231 - Porto

#owner = POR
#controller = POR
culture = portugese
religion = matrem
capital = "Porto"
trade_goods = unknown
hre = no
base_tax = 1
base_production = 1
base_manpower = 1
is_city = no
#estate = #estate_church #Braga
#add_core= POR



discovered_by = high_american 
discovered_by = RED
discovered_by = indian
discovered_by = indian
discovered_by = high_american 
discovered_by = RED

extra_cost = 10

add_permanent_province_modifier = {
	name = douro_estuary_modifier
	duration = -1
}

# = { #controller = SPA }
# = { #controller = POR }
# = { unrest = 8 } # Revolt headed by John of Bragança
# = { unrest = 0 } # Portugal regained it's independence & colonial possessions
# = { #controller = FRA } # Occupied by France
# = { #controller = POR }


native_size = 5
native_ferocity = 1
native_hostileness = 3
