#2381 - Luang Namtha

#owner = LXA
#controller = LXA
culture = lao
religion = buddhism
capital = "Luang Namtha"
trade_goods = tea
hre = no
base_tax = 2 
base_production = 2
base_manpower = 2
is_city = no
#add_core= LXA
#add_core= LUA



discovered_by = chinese
discovered_by = indian


# = { unrest = 5 } # Revolt against vassalization
# = { unrest = 0 }
# = { unrest = 4 } # Revolt against Burmese vassalization
# = { unrest = 0 }
# = { discovered_by = SPA }#Novus Atlas Sinensis
# = { #add_core= AYU } # Siamnese Intervention
# = {
	#owner = LUA
	#controller = LUA
	remove_core = LXA
#} # Declared independent, Lan Xang was partitioned into three kingdoms; Vientiane, Champasak & Luang Prabang


native_size = 5
native_ferocity = 1
native_hostileness = 3
