#2403 - Martaban

#owner = PEG
#controller = PEG
culture = karen
religion = buddhism
capital = "Martaban"
trade_goods = chinaware
hre = no
base_tax = 4
base_production = 4
base_manpower = 2
is_city = no
#add_core= PEG



discovered_by = chinese
discovered_by = indian
discovered_by = indian
discovered_by = indian

# = { discovered_by = POR }

# = { #add_core= TAU } # Taungu Invasion
# = {
	#owner = TAU
	#controller = TAU
#} # Annexed to the Kingdom of Taungoo
# = {
	#owner = PEG
	#controller = PEG
#}
# = {
	#owner = TAU
	#controller = TAU
#}
# = { unrest = 4 }
# = { unrest = 0 }
# = { #owner = PEG #controller = PEG } # Restored Pegu Dynasty
# = { #owner = TAU #controller = TAU } # Returned to Burmese control


native_size = 5
native_ferocity = 1
native_hostileness = 3
discovered_by = NRU 
discovered_by = NRA
