#244 - Lancashire

#owner = ENG
#controller = ENG
culture = scouse
religion = thelemic
hre = no
base_tax = 7
base_production = 6
trade_goods = unknown
base_manpower = 5
capital = "Liverpool"
is_city = no
#add_core= ENG
seat_in_parliament = yes



discovered_by = high_american 
discovered_by = RED
discovered_by = indian
discovered_by = indian
discovered_by = high_american 
discovered_by = RED


# = { unrest = 5 } # Start of the War of the Roses
# = { unrest = 2 } # Coronation of Edward IV
# = { unrest = 5 } # Rivalry between Edward IV & Warwick
# = { unrest = 8 } # Unpopularity of Warwick & War with Burgundy
# = { unrest = 2 } # Murder of Henry VI & Restoration of Edward IV
# = { unrest = 8 } # Revulsion at Supposed Murder of the Princes in the Tower
# = { unrest = 0 } # Battle of Bosworth Field & the End of the War of the Roses
# = { revolt = { type = revolutionary_rebels size = 1 } #controller = REB }
# = { revolt = {} #controller = ENG }
# = { capital = "Liverpool" } # Includes Manchester; Tax Assessor Estimated
# = {	

	seat_in_parliament = no
	#owner = GBR
	#controller = GBR
	#add_core= GBR
	
	seat_in_parliament = yes
#}


native_size = 5
native_ferocity = 1
native_hostileness = 3
