# No previous file for Mdewakanton

#owner = SIO
#controller = SIO
#add_core= SIO
is_city = no
culture = dakota
religion = totemism
capital = "Mdewakanton"
trade_goods = unknown
hre = no
base_tax = 4
base_production = 4
base_manpower = 2
native_size = 5
native_ferocity = 1
native_hostileness = 2



discovered_by = western 
discovered_by = eastern 
discovered_by = muslim 
discovered_by = ottoman
discovered_by = nomad_group

# = { discovered_by = ENG 

# = {
	#owner = OJI
	#controller = OJI
	#add_core= OJI
	is_city = no
	culture = anishinabe 
 #Ojibwe push Sioux westward.
# = { discovered_by = GBR 
# = {
	#owner = USA
	#controller = USA
	#add_core= USA
	culture = american
	religion = protestant 
 #The death of Tecumseh mark the end of organized native resistance 

discovered_by = GBR
