# No previous file for Wabash

#owner = SHA
#controller = SHA
#add_core= SHA
is_city = no
culture = shawnee
religion = totemism
capital = "Wabash"
trade_goods = unknown
hre = no
base_tax = 4
base_production = 4
base_manpower = 2
native_size = 5
native_ferocity = 1
native_hostileness = 2



discovered_by = western 
discovered_by = eastern 
discovered_by = muslim 
discovered_by = ottoman
discovered_by = nomad_group

# = { discovered_by = FRA  # Médard Chouart Des Groseilliers
# = { discovered_by = ENG  # Abraham Wood

# = {
 	#owner = IRO
	#controller = IRO
	culture = iroquois 
 #Taken by Iroquois in Beaver Wars.
# = {
	#owner = XXX
	#controller = XXX
	is_city = no
	culture = shawnee 
 #Vast areas left deserted after the Beaver Wars and the Iroquois withdrawal
# = { discovered_by = GBR 
# = {
	#owner = SHA
	#controller = SHA
	#add_core= SHA
	is_city = no 
 #return of the Shawnee
# = {
	#owner = USA
	#controller = USA
	#add_core= USA
	culture = american
	religion = protestant
 # Treaty of Grouseland
discovered_by = GBR
