#275 - Polotsk

#owner = LIT 
#controller = LIT 
culture = byelorussian
religion = orthodox 
hre = no
base_tax = 1
base_production = 1
trade_goods = unknown
base_manpower = 1
add_local_autonomy = 50
capital = "Polotsk"
#estate = #estate_burghers
is_city = no 
fort_15th = yes 
#add_core= PLT
#add_core= LIT



discovered_by = high_american 
discovered_by = RED
discovered_by = indian
#discovered_by = nomad_group


# = { #controller = RUS } # Captured by Ivan the Terrible, during the Livonian war
# = {
	#owner = PLC
	#add_core= PLC
#} # Union of Lublin
# = { #controller = PLC } # Retaken by Stephan Bathory
# = {
	#add_core= RUS
	#owner = RUS
	#controller = RUS
	
	add_local_autonomy = -50
#} # First partition of Poland
# = { unrest = 5 } # Kosciuszko uprising, minimize the Russian influence
# = { unrest = 0 }


native_size = 5
native_ferocity = 1
native_hostileness = 3
