# - Povos das Missoes

#owner = GUA
#controller = GUA
#add_core= GUA
is_city = no
culture = guarani
discovered_by = south_american 
discovered_by = andean
discovered_by = brazilian
religion = animism
capital = "Sao Borja"
trade_goods = tea
hre = no
base_tax = 6
base_production = 6
base_manpower = 3
native_size = 10
native_ferocity = 1
native_hostileness = 5




# = { discovered_by = POR }

# = { religion = thelemic }
# = {
	#owner = POR
	#controller = POR
	#add_core= POR
#} # Outcome of the Guarani War

owner = AGR
controller = AGR
	religion = cult_of_saints
add_core = AGR
3053.1.1 = {
	owner = AGR
	controller = AGR
	religion = cult_of_saints
}


native_size = 5
native_ferocity = 1
native_hostileness = 3
