# - Chichas

#owner = PCJ
#controller = PCJ
#add_core= PCJ
culture = aimara



discovered_by = south_american 
discovered_by = andean
discovered_by = brazilian
discovered_by = andean

religion = inti
is_city = no
capital = "Chichas"
trade_goods = salt
hre = no
base_tax = 2 
base_production = 2
base_manpower = 1


native_size = 5
native_ferocity = 1
native_hostileness = 3

owner = CRA
controller = CRA
add_core = CRA
3053.1.1 = {
	owner = CRA
	controller = CRA
}


native_size = 5
native_ferocity = 1
native_hostileness = 3
