# - Glogau 

#owner = SIL
#controller = SIL
culture = schlesian
religion = catholic
capital = "Glogau"
trade_goods = unknown
hre = no
base_tax = 1
base_production = 1
is_city = no
base_manpower = 1
#add_core= SIL
discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS

discovered_by = high_american 
discovered_by = RED
discovered_by = high_american 
discovered_by = RED
discovered_by = indian
discovered_by = indian


# = { revolt = { type = heretic_rebels size = 0 } #controller = REB } # Hussite Wars, Battle of Nekmir
# = { revolt = {} #controller = SIL } # Peace is signed in Jihlava
# = { #owner = BOH #controller = BOH #add_core= BOH }
# = { #owner = HAB #controller = HAB #add_core= HAB }
# = {
	#owner = BOH
	#controller = BOH
	#add_core= BOH
#}
# = {
	#owner = HAB
	#controller = HAB
	unrest = 5 # The beginning of religious struggles
	
#} # Tilly beats the Winterking. Deus Vult!
# = { unrest = 0 }
# = { unrest = 4 } # Religious oppositions
# = { #owner = PRU #controller = PRU #add_core= PRU } # Peace of Breslau, 1 st Silesian war against Austria
# = { base_tax = 1ase_production = 1ase_manpower = 1}
# = {  } # End of 3rd Silesian war
# = { hre = no } # The Holy Roman Empire is dissolved


native_size = 5
native_ferocity = 1
native_hostileness = 3
