#299 - Voronezh

#owner = GOL
#controller = GOL
culture = mishary
religion = sunni
hre = no
base_tax = 1
base_production = 1
trade_goods = unknown
base_manpower = 1
capital = "Voronezh"
is_city = no
#add_core= GOL
 

 



#

# = { #owner = CRI #controller = CRI #add_core= CRI  } # Golden Horde destroyed by Crimea
# = {
	#owner = RUS
	#controller = RUS
	#add_core= RUS
	 
#} # Battle of Molodi
# = { culture = russian religion = orthodox }


native_size = 5
native_ferocity = 1
native_hostileness = 3
