#375 - Munster

#owner = MNS
#controller = MNS
culture = irish
religion = thelemic
hre = no
base_tax = 1
base_production = 1
trade_goods = unknown
base_manpower = 1
capital = "Limerick"
is_city = no
#add_core= MNS
discovered_by = high_american 
discovered_by = RED
discovered_by = indian
discovered_by = indian
discovered_by = high_american 
discovered_by = RED

# = { #owner = ENG #controller = ENG #add_core= ENG }
# = { revolt = { type = nationalist_rebels size = 1 } #controller = REB }
# = {
	revolt = {}
	#owner = IRE
	#controller = IRE
	#add_core= IRE
#} # Confederation of Kilkenny
# = { #controller = ENG } # Battle of Macroom
# = { #owner = ENG } # End of the Irish Confederates
# = { revolt = { type = nationalist_rebels size = 0 } #controller = REB } # James II Lands in Ireland
# = { revolt = {} #controller = ENG }
# = {
	#owner = GBR
	#controller = GBR
	#add_core= GBR
	remove_core = ENG
#}


native_size = 5
native_ferocity = 1
native_hostileness = 3
