# 4215 - Fudali

#owner = MYR
#controller = MYR
#add_core= MYR
culture = manchu
religion = tengri_pagan_reformed
capital = "Fudali"
trade_goods = unknown
hre = no
base_tax = 1
base_production = 1
base_manpower = 1
is_city = no



discovered_by = chinese
#discovered_by = nomad_group

# = { discovered_by = RUS }

# = {	#owner = RUS
	#controller = RUS
	religion = orthodox
	culture = russian
#} # Pyotr Beketov
# = {	#discovered_by = QNG
	#owner = QNG
	#controller = QNG
	#add_core= QNG
	culture = manchu
	religion = confucianism
	trade_goods = unknown
#} # Treaty of Nerchinsk
# = { discovered_by = SPA }


native_size = 5
native_ferocity = 1
native_hostileness = 3
