#4219 - Bayan Tu'men 

#owner = KHA
#controller = KHA
#add_core= KHA
culture = khalkha
religion = tengri_pagan_reformed
capital = "Bayan Tu'men"
trade_goods = wool
hre = no
base_tax = 1 
base_production = 1
base_manpower = 2
is_city = no
discovered_by = chinese
#discovered_by = nomad_group

# = { revolt = { type = revolutionary_rebels size = 0 } #controller = REB } # Fighting broke out between the Mongols
# = {
	revolt = {}
	#controller = KHA
#} # The Oirads are defeated & Mongolia is reunited under Altan Khan
# = { discovered_by = SPA } #Ferdinand Verbiest
# = {
	#owner = ZUN
	#controller = ZUN
#}
# = {
	#owner = QNG
	#controller = QNG
	#add_core= QNG
#} # Kangxi leads Qing army pushing Zunghars back
# = { discovered_by = SPA }


native_size = 5
native_ferocity = 1
native_hostileness = 3
