#440 - Qaraqalpak

#owner = SHY
#controller = SHY
culture = uzbehk
religion = sunni
capital = "Chimbay"
trade_goods = wool
hre = no
base_tax = 3 
base_production = 3
base_manpower = 3
is_city = no
#add_core= SHY
#add_core= KHI



discovered_by = KAS
discovered_by = indian
discovered_by = indian
#discovered_by = nomad_group


# = { 
	#owner = BUK 
	#add_core= BUK 
	#controller = BUK 
	remove_core = SHY 
	remove_core = KHI # was TIM
#} # The Uzbek Shaybanids brings an end to the Timurid dynasty
# = { #owner = KHI #controller = KHI remove_core = BUK } # Khiva separates from Uzbeks
# = { discovered_by = RUS }


native_size = 5
native_ferocity = 1
native_hostileness = 3
