#455 - Kyrzyl-Kum

#owner = SHY
#controller = SHY
culture = khazak
religion = sunni
capital = "Kyzyl Kum"
trade_goods = wool
hre = no
base_tax = 1 
base_production = 1
base_manpower = 1
is_city = no
#add_core= KZH
#add_core= SHY



discovered_by = KAS
discovered_by = indian
discovered_by = indian
#discovered_by = nomad_group


# = { 
	#owner = BUK 
	#add_core= BUK
	#controller = BUK
	
	#
#} # The Uzbek Shaybanids brings an end to the Timurid dynasty
# = { #owner = KZH #controller = KZH  } # Qasim Khan's conquests
# = { discovered_by = RUS }
# = { #owner = OIR #controller = OIR } # Dzungarian invasion
# = { #owner = KZH #controller = KZH }
# = { #owner = OIR #controller = OIR } # Dzungarian invasion
# = { #owner = KZH #controller = KZH }


native_size = 5
native_ferocity = 1
native_hostileness = 3
