# NB: If changing the ID for this province, code (CPowerSpending::OnExecute) also has to change for achievement_tear_down_this_wall to work.
#50 - Brandenburg

#owner = BRA
#controller = BRA
#add_core= BRA
culture = saxon
religion = catholic
hre = no
base_tax = 1
base_production = 1
trade_goods = unknown
base_manpower = 1
fort_15th = yes
capital = "Berlin-Cölln"
is_city = no
discovered_by = high_american 
discovered_by = RED
discovered_by = high_american 
discovered_by = RED
discovered_by = indian
discovered_by = indian


# = { religion = protestant }
# = { fort_15th = no fort_16th = yes } #Spandau
# = { fort_16th = no fort_17th = yes } 
# = { culture = prussian } 
# = {
	#owner = PRU
	#controller = PRU
	#add_core= PRU
	
	base_tax = 1
	base_production = 1
	base_manpower = 1
#} # Friedrich III becomes king of Prussia
# = {
	capital = "Berlin" #Merger of the twin cities.
#}
# = {  base_tax = 1base_production = 1}
# = { base_manpower = 1}
# = { hre = no } # The Holy Roman Empire is dissolved
# = { #controller = FRA }
# = { #controller = PRU } # The Second treaty of Tilsit


native_size = 5
native_ferocity = 1
native_hostileness = 3
