#567 - Sylhet

#owner = BNG
#controller = BNG
culture = bengali
religion = hinduism
capital = "Sylhet"
trade_goods = cotton
hre = no
base_tax = 4 
base_production = 3
base_manpower = 2
is_city = no
estate = estate_dhimmi
#add_core= BNG



discovered_by = indian
discovered_by = chinese
#discovered_by = nomad_group


# = {
	#owner = MUG
	#controller = MUG
	#add_core= MUG
	unrest = 8
#} #Mughal takeover, but the land remains in the hand of Afghan and Hindu land#owners with interests vested against the Mughal dynasty and a deep hatred for the Mughal state
# = {
	unrest = 0
#} # Integrated into Mughal Empire
# = {
	#controller = REB
	revolt = {
		type = pretender_rebels size = 0
		name = "Khurrams Faction"
		leader = "Shah Jahan Timurid"
	}
#} #With some aid from Golconda Khurrams rebelion against his father continues
# = {
	#controller = MUG
	revolt = { }
#} #Khurram is defeated and is chased away by Mughal forces and rebelious Zamindars. Takes refuge in Ahmednagar and eventually surrenders on terms dictated by Nur Jahan
# = { discovered_by = POR }
# = {
	#owner = BNG
	#controller = BNG
	remove_core = MUG
#}
# = {
	#owner = GBR
	#controller = GBR
	#add_core= GBR
#} # Given to GBR by Mir Qasim


native_size = 5
native_ferocity = 1
native_hostileness = 3
