#581 - Sagaing

#owner = AVA
#controller = AVA
culture = burmese
religion = buddhism
capital = "Sagaing"
trade_goods = cotton
hre = no
base_tax = 5 
base_production = 5
base_manpower = 4
is_city = no
#add_core= AVA



discovered_by = chinese
discovered_by = indian


# = {
	#owner = SST
	#controller = SST
	#add_core= SST
	
#}
# = { #add_core= TAU }
# = { #controller = TAU }
# = {	
	#owner = TAU
	
#}
# = { discovered_by = GBR }


native_size = 5
native_ferocity = 1
native_hostileness = 3
discovered_by = NRU 
discovered_by = NRA
