#596 - Malacca

#owner = MLC
#controller = MLC
culture = malayan
religion = sunni
capital = "Malacca"
trade_goods = spices
hre = no
base_tax = 7 
base_production = 7
base_manpower = 3
is_city = no
#add_core= MLC
discovered_by = chinese
discovered_by = indian
discovered_by = indian
discovered_by = indian

extra_cost = 15

add_permanent_province_modifier = {
	name = center_of_trade_modifier
	duration = -1
}


native_size = 5
native_ferocity = 1
native_hostileness = 3
discovered_by = NRU 
discovered_by = NRA
