#598 - Pahang

#owner = MLC
#controller = MLC
culture = malayan
religion = sunni
capital = "Pahang"
trade_goods = tropical_wood
hre = no
base_tax = 2 
base_production = 2
base_manpower = 1
is_city = no
#add_core= MLC
#add_core= JOH



discovered_by = chinese
discovered_by = indian
discovered_by = indian
discovered_by = indian

# = { discovered_by = POR }

# = {
	#owner = JOH
	#controller = JOH
#}


native_size = 5
native_ferocity = 1
native_hostileness = 3
discovered_by = NRU 
discovered_by = NRA
