#675 - Qujing

#owner = MNG
#controller = MNG
#add_core= MNG
#add_core= CYI
culture = yi
religion = animism
capital = "Umung"
trade_goods = unknown
hre = no
base_tax = 1
base_production = 1
base_manpower = 1
is_city = no



discovered_by = chinese
discovered_by = indian
#discovered_by = nomad_group

# = { discovered_by = SPA }#Novus Atlas Sinensis

# = {
	#owner = QNG
	#controller = QNG
#}
# = {
	#owner = CZH
	#controller = CZH
	#add_core= CZH
	remove_core = MNG
#} # The Three Feudatories
# = {
	#owner = QNG
	#controller = QNG
	#add_core= QNG
#}


native_size = 5
native_ferocity = 1
native_hostileness = 3
