#683 - Nanchang

#owner = MNG
#controller = MNG
#add_core= MNG
culture = gan
religion = confucianism
capital = "Nanchang"
trade_goods = unknown
hre = no
base_tax = 1
base_production = 1
base_manpower = 1
is_city = no
#add_core= NNG




#


# = { revolt_risk = 5 } # Peasant rebellion, Jiangxi
# = { revolt_risk = 0 }

# = { #controller = MCH }
# = { #controller = QNG }
# = {
	#owner = QNG
	#add_core= QNG
#}
# = {
	#controller = MNG 
	#owner = MNG
#}
# = {
	#owner = QNG
	#controller = QNG
#}
# = { #controller = MNG }
# = { #controller = QNG }


native_size = 5
native_ferocity = 1
native_hostileness = 3

