#685 - Huai'an (can't change file name)

#owner = MNG
#controller = MNG
#add_core= MNG
culture = jianghuai
religion = confucianism
capital = "Yangzhou"
trade_goods = unknown
hre = no
base_tax = 1 
base_production = 1
base_manpower = 1
is_city = no
#add_core= WUU


discovered_by = chinese
#discovered_by = nomad_group


# = { discovered_by = POR } # Tome Pires
# = {
	#owner = QNG
	#controller = QNG
	#add_core= QNG
#}
# = {  } # The government in Taiwan surrendered


native_size = 5
native_ferocity = 1
native_hostileness = 3
discovered_by = NRU 
discovered_by = NRA
