#687 - Zhoujiakou

#owner = MNG
#controller = MNG
#add_core= MNG
culture = zhongyuan
religion = confucianism
capital = "Nanyang"
trade_goods = unknown
hre = no
base_tax = 1
base_production = 1
base_manpower = 1
is_city = no
#add_core= TNG
#add_core= LNG



discovered_by = chinese
#discovered_by = nomad_group


# = { revolt_risk = 6 } # Li Zicheng rebellion
# = { revolt = { type = anti_tax_rebels size = 2 } #controller = REB }
# = { revolt = { } revolt_risk = 0 #owner = CSH #controller = CSH #add_core= CSH } # The Shun dynasty of Li Zicheng
# = {
	#owner = QNG
	#controller = QNG
	#add_core= QNG
#} # Qing invasion continues
# = { discovered_by = SPA }#Novus Atlas Sinensis
# = {  }


native_size = 5
native_ferocity = 1
native_hostileness = 3
discovered_by = NRU 
discovered_by = NRA
