#731 - Ilan Hala

#owner = MJZ
#controller = MJZ
#add_core= MJZ
culture = manchu
religion = tengri_pagan_reformed
capital = "Ilan Hala"
trade_goods = naval_supplies
hre = no
base_tax = 3 
base_production = 3
base_manpower = 2
is_city = no



discovered_by = chinese
#discovered_by = nomad_group


# = {
	#owner = MCH
	#controller = MCH
	#add_core= MCH
	remove_core = MJZ
#} # The Later Jin Khanate
# = {
	#owner = QNG
	#controller = QNG
	#add_core= QNG
	remove_core = MCH
#} # The Qing Dynasty
# = { discovered_by = SPA }


native_size = 5
native_ferocity = 1
native_hostileness = 3
