#757 - Ilheus

#owner = TPQ
#controller = TPQ
#add_core= TPQ
culture = baiano 
add_core = BIA
discovered_by = south_american 
discovered_by = andean
discovered_by = brazilian
religion = candomble
capital = "Ilheus"
is_city = no
trade_goods = cocoa
hre = no
base_tax = 6
base_production = 6
base_manpower = 3
native_size = 10
native_ferocity = 1
native_hostileness = 2
owner = BIA
controller = BIA
	religion = cult_of_saints
add_core = BIA
3053.1.1 = {
	owner = BIA
	controller = BIA
	religion = cult_of_saints
}


native_size = 5
native_ferocity = 1
native_hostileness = 3
