#825 - Bogota

#owner = MCA
#controller = MCA
culture = muisca



discovered_by = western 
discovered_by = eastern 
discovered_by = muslim 
discovered_by = ottoman
discovered_by = south_american 
discovered_by = andean
discovered_by = andean

religion = inti
capital = "Bogotá"
is_city = no
trade_goods = cocoa
hre = no
base_tax = 6 
base_production = 6
base_manpower = 2
#add_core= MCA

# = {
	#discovered_by = SPA
	#owner = SPA
	#controller = SPA
	#add_core= SPA
	religion = catholic
	culture = castillian
} # Founded by Gonzalo Jiménez de Quesada
# = {
	#owner = COL
	#controller = COL
	#add_core= COL
} # Colombia declares independence
# = {  } # Colombia's independence is recongnized


native_size = 5
native_ferocity = 1
native_hostileness = 3
