#850 - Tlaxcala

#owner = TLX
#controller = TLX
culture = aztek
religion = nahuatl
capital = "Tlaxcala"
trade_goods = unknown
hre = no 
base_tax = 1
base_production = 1
base_manpower = 1
is_city = no
#add_core= TLX
discovered_by = western 
discovered_by = eastern 
discovered_by = muslim 
discovered_by = ottoman
discovered_by =  mesoamerican
fort_15th = yes

# = { discovered_by = SPA } # Hernán Cortés
# = { #owner = SPA #controller = SPA #add_core= SPA } #Form a strong and long-lasting alliance with Spain
# = { religion = catholic } #Dominican friars arrive, but Tlaxcala largely retain its own government under Spanish rule & protection (protectorate in-game)
# = { #owner = MEX #add_core= MEX #controller = SPA } # Mexican War of Independence
# = { #controller = MEX } # Conquered by José María Morelos


native_size = 5
native_ferocity = 1
native_hostileness = 3
