#880 - Pueblo

#add_core= PUE
#owner = PUE
#controller = PUE
culture = pueblo 
religion = totemism
capital = "Ohkay Owingeh" 
trade_goods = unknown
hre = no 
base_tax = 1
base_production = 1
base_manpower = 1
is_city = no
native_size = 15 
native_ferocity = 3 
native_hostileness = 5 
discovered_by = western 
discovered_by = eastern 
discovered_by = muslim 
discovered_by = ottoman
discovered_by = nomad_group
extra_cost = 10

center_of_trade = 2

# = { discovered_by = SPA } # Francisco Vásquez de Coronado
# = {
	#owner = SPA
	#controller = SPA
	#add_core= SPA
 }# conquered by Spain
# = { capital = "Santa Fe" }# Pedro de Peralta
# = { revolt = { type = nationalist_rebels size = 0 } #controller = REB } # Pueblo revolt
# = {
	#owner = PUE
	#controller = PUE 
} #Spanish abandon their Pueblo settlements
# = { 
	#owner = SPA 
	#controller = SPA 
	 
	culture = castillian 
	religion = catholic 
} # The Spanish reestablished control 
# = { #owner = MEX #add_core= MEX #controller = SPA } # Mexican War of Independence
