#920 - Choctaw

#add_core= CHO
#owner = CHO
#controller = CHO
culture = choctaw
religion = totemism
capital = "Choctaw"
trade_goods = unknown
hre = no
base_tax = 4
base_production = 4
base_manpower = 2
is_city = no
native_size = 10
native_ferocity = 1
native_hostileness = 3



discovered_by = western 
discovered_by = eastern 
discovered_by = muslim 
discovered_by = ottoman
discovered_by = nomad_group

# = { discovered_by = SPA  # Hernando de Soto

#= {
	#owner = USA
	#controller = USA
	#add_core= USA
	culture = american
	religion = protestant 
 #Treaty of Hopewell (with the Choctaw), come under US authority

discovered_by = GBR
