#955 - Susquehanna

#add_core= SUS
#owner = SUS
#controller = SUS
culture = susquehannock
religion = totemism
capital = "Susquehanna"
trade_goods = unknown
hre = no
base_tax = 4
base_production = 4
base_manpower = 2
is_city = no
native_size = 5
native_ferocity = 1
native_hostileness = 4



discovered_by = western 
discovered_by = eastern 
discovered_by = muslim 
discovered_by = ottoman
discovered_by = nomad_group
 

# = { discovered_by = FRA  # Étienne Brûlé
# = {
	#owner = SUS
	#controller = SUS
	#add_core= SUS
	is_city = no
	trade_goods = unknown
 #Full extent of the Susquehannock & Erie at start of the Beaver Wars
# = { discovered_by = ENG 
# = {
 	#owner = LEN
	#controller = LEN
	culture = delaware 
 #Lenape vassals of Iroquois resettle
# = { discovered_by = GBR 
# = {
	#owner = GBR
	#controller = GBR
	#add_core= GBR
	culture = english
	religion = protestant
	capital = "Harrisburg"
 
# = { culture = american unrest = 6  # Growing unrest
# = {
	#owner = USA
	#controller = USA
	#add_core= USA
 # Declaration of independence
# = {
	 
	unrest = 0
 # Preliminary articles of peace, the British recognized American independence
# = { unrest = 3  # Whiskey Rebelion
# = { unrest = 0  
# = { unrest = 5  # Fries Rebellion
# = { unrest = 0  

discovered_by = GBR
