#956 - Lenape

#owner = LEN
#controller = LEN
#add_core= LEN
is_city = no
culture = delaware
religion = totemism
capital = "Lenape"
trade_goods = unknown
hre = no
base_tax = 4
base_production = 4
base_manpower = 2
native_size = 5
native_ferocity = 1
native_hostileness = 4
discovered_by = western 
discovered_by = eastern 
discovered_by = muslim 
discovered_by = ottoman
discovered_by = nomad_group
extra_cost = 10

add_permanent_province_modifier = {
	name = delaware_estuary_modifier
	duration = -1
}

discovered_by = GBR
