#969 - Pocumtuk

#add_core= MAH
#owner = MAH
#controller = MAH
culture = mahican
religion = totemism
capital = "Pocumtuk"
trade_goods = unknown
hre = no
base_tax = 4
base_production = 4
base_manpower = 2
is_city = no
native_size = 5
native_ferocity = 1
native_hostileness = 4



discovered_by = western 
discovered_by = eastern 
discovered_by = muslim 
discovered_by = ottoman
discovered_by = nomad_group

# = { discovered_by = FRA  # Samuel de Champlain
# = { discovered_by = ENG 

# = {
	#discovered_by = GBR
	#owner = GBR
	#controller = GBR
	#add_core= GBR
	culture = english
	religion = protestant
 # Fort Dummer, British settlement
# = {
	culture = american
	unrest = 6
 # Growing unrest
# = { unrest = 7  # Controversy regarding New York's territorial claim to Vermont
# = {
	#owner = USA
	#controller = USA
	#add_core= USA
 # Still part of New York at this time, even if there was disagreement
# = { unrest = 0 revolt = { type = particularist_rebels size = 3  #controller = REB  # Republic of Vermont is proclaimed (no tag available)
# = {
	
	unrest = 0  
 # Preliminary articles of peace, the British recognized American independence
# = { revolt = { #controller = USA  # Admitted to the union as its own state
# = { base_tax = 4base_production = 4 # Federal tax on property

discovered_by = GBR
